biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,notes,paths
"Benito “Benny” DeRosa was the co-founder of Pastosa Ravioli, established in the late 1970’s. He was known for his incredible work ethic and dedication to his family.  ",Staten Island,Street,1593964800000.0,Borelli ,Between Wilson Avenue and Eltingville Boulevard ,Benito “Benny” DeRosa Way ,Richmond Avenue ,10312.0,1646.0,Int. No. 1825,,"40.54531199000007,-74.1657412209999|40.54451120400008,-74.16543306499996"
"John P. Salogub served in Vietnam and was the recipient of the Purple Heart and Silver Star.  He served as Post Commander of the Veterans of Foreign War Post 59 and was an active member of the American Legion Post 573.  He was president of the 69th Precinct Community Council where he organized the Precinct’s Summer Youth Baseball Program for girls and boys.  He was dubbed “Cub 2” and received the Community Advocate Award as a member of the Brooklyn Lions Club.  He also became a member of the United States Coast Guard Auxiliary, a division of Home Land Security, and served as the Commander of Flotilla 11-02.  He was also a member of Community Board 18, Neighborhood Advisory Board 18 and the Community Emergency Response Team. ",Brooklyn,Street,1343577600000.0,Fidler,Between Avenue J and East 77th Street,John P. Salogub ,Paerdegat Avenue North ,11236.0,1647.0,Int. No. 935,,"40.63378062900007,-73.91155266699998|40.63344680700006,-73.91201400699997|40.632111502000015,-73.91303861099992"
"Jim English served as President, Vice President, Board Chairman, and Vice Chairman of the Rosedale Civic Association, and its Board of Governors.  He was a set coordinator of the Rosedale Civilian Patrol, and was one of the first members to complete the NYC Police Academy Training Program for Civilian Patrols.  He was also a founding member of the Eastern Queens Alliance and formed a connection between Rosedale and the organization, S.A.F.E. (Sane Aviation for Everyone).  He helped Rosedale receive several grants which led to the purchasing of pollution monitoring equipment through SAFE.  In 2009, the Board of Trustees of the Rosedale Civic Association nominated Jim as Chairman Emeritus. 

 ",Queens,Street,1437235200000.0,Richards, Between 138th Avenue and North Conduit Avenue , James English Way  , 242nd Street  ,11422.0,1648.0, Int. No. 849		,,"40.66768766800005,-73.73523812399998|40.666637878000074,-73.73582016399996"
"Police Officer William Rivera served in the 78th Precinct for his entire career of over ten years working on many assignments which included patrol, street narcotics and anti-crime.  During these assignments he affected 260 arrests and received six citations for outstanding police work.  He was killed in the line of duty. ",Brooklyn,Street,1185984000000.0,James,From Bergen Street to Dean Street ,P.O. William Rivera Way ,6th Avenue ,11217.0,1649.0,Int. No. 556-A,,"40.68141805900004,-73.97425208499995|40.68083876100004,-73.97446666199998"
"University Settlement was founded in 1886 and was the first settlement house in the United States and addresses the needs of over 20,000 people a year.  It provides childhood programs, mental health services, after school and day camp programs, college preparation and guidance, eviction prevention, domestic violence services, specialized programs for older adults and adult literacy classes. ",Manhattan,Street,1293901200000.0,Chin ,Between Delancey Street and Rivington Street,University Settlement ,Eldridge Street ,10002.0,1650.0, Int. No. 590-A,,"40.72071459700002,-73.99065789599995|40.719651412000054,-73.991202384"
"William J. Madonna was raised in Yorktown Heights and earned his Bachelor of Science degree from Northeastern University in Boston.  He later graduated from the New England School of Law where he received his Juris Doctorate.  He began his legal career in the office of Corporation Counsel of the City of New York Law Department and later joined the Bronx District Attorney’s Office as a prosecutor. Since 1994, he maintained a successful private practice in the Morris Park section of the Bronx and represented victims of domestic violence, as well as handled divorce and family law, criminal law and real estate.  He was a member of the Bronx County Bar Association, the Bronx Family Court Bar Association and served as chief counsel to then state-assemblyman, Mark Gjonaj.  He represented the Tracey Towers tenant organization in their fight to block rent increases.  He was honored by the Van Nest Neighborhood Alliance, the Morris Park Avenue Association on multiple occasions and Friends of Pelham Parkway, among others.  He also took on the lawsuit for the Friends of Pelham Parkway to save the trees that were set to be removed for the reconstruction of Pelham Parkway and won the case. ",Bronx,Street,1531411200000.0, Gjonaj ,Between Morris Park and Rhinelander Avenue ,William J. Madonna Way ,Bogart Avenue ,10462.0,1651.0,Int. No. 988,,"40.84924597800007,-73.85937126099996|40.84750514800004,-73.85799260499995"
Reverend Dr. John J. Sass was an outstanding humanitarian who provided services to his Harlem Community for over 60 years. He was a pastor at St. Matthews Baptist Church and had received many community service awards for his tenacious leadership and for providing spiritual inspiration to multitudes in his coveted congregation.  ,Manhattan,Street,1154793600000.0,Dickens,  From West 150th Street to West 154th Street , Dr. John J. Sass Place ,  Macombs Place ,10039.0,1652.0,Int. No. 457			,,"40.827631723,-73.93579187499998|40.825926859000035,-73.93931361499992"
"Forest Park currently includes several memorials in recognition of veterans who have served in WWI, WWII and Vietnam.  Additionally, the Park contains a 9/11 memorial near the bandstand in recognition of all those who lost their lives in the attacks.  Co-naming Forest Park Drive, which connects all of these memorials, to Forest Park Memorial Drive would be a fitting tribute.  ",Queens,Street,1531411200000.0,Holden,Just below Oak Ridge with the street sign pointing down the sloped Memorial Drive ,Forest Park Memorial Drive ,Forest Park Drive  ,11421.0,1653.0,Int. No. 988,,"40.695894960000025,-73.86660144999998|40.695960543000076,-73.86619442399996"
"Founded in 1916, Plaza College first began as an independent institution based in Long Island City.  As long-range plans indicated a need for more space, the college moved to 37th Avenue in Jackson Heights in 1970.  With additional accommodations available, the College has continued to develop and build an outstanding learning environment for its students.  Academic support, counseling, and placement services reach out to each student, ensuring a successful educational experience.  The development of computer facilities, course offerings, and other enhancements to the life of the college community clearly reflects the college’s history of responding to dramatic changes in technology and the nature of business.   

From a historical perspective, notable Plaza College events include the development of its two-year programs - 1975; authorization by the Board of Regents of the State of New York to confer the degree of Associate in Occupational Studies (A.O.S.) - 1982; authorization to confer the degree of Associate in Applied Science (A.A.S.) - 1988; Middle States Candidacy – 1997.  The college was accredited by the Commission on Higher Education of the Middle States Association of Colleges and Schools on March 6, 2002. 

The 1990’s continued to be a period of extensive development for the College.  With completion of Bruson Hall, the size of the College nearly doubled.  This made possible an expanded library, internet facility, Learning Resource Center, additional computer classrooms, student lounge, and special events hall.  These additions have made the learning environment at Plaza College a special place to be.  Efforts also proceeded in developing “The Computer Business Support Specialist,” a new degree program of study, designed to offer students an intense focus on computer software, hardware and network operations. 

To meet the challenges and opportunities of the 21st century, the college is committed to achieving strategic planning goals and building upon its strengths through the outcomes assessment process.  The year 2003 will mark Plaza's 87th year of service to the community of Queens. ",Queens,Street,1061395200000.0,Sears,between 74th Street and 75th Street ,Plaza College Way ,37th Avenue	,11372.0,1654.0,Int. No. 342-A		,,"40.74897980700006,-73.89170891299996|40.74907011700005,-73.890886369"
"Ann Maggio was a teacher at St. Aloysius.  She served as the president of Citizens for a Better Ridgewood, a member of Community Board 5, president of the Suydam Street Block Association, and a member of the Onderdonk Civics’ board of directors.  She fought for capital improvement projects at area parks to pressure the city to keep Grover Cleveland High School open, which was successful.  She received many accolades over the years, one of them being the Queens Heroine Award in March 2004 – as well as a certificate from Queens Borough President Helen Marshall in 2009 for her then 10 years of service on CB 5.  She helped transform the Grover Cleveland athletic field decades ago from a hangout for drug users to a recreational area. ",Queens,Street,1437580800000.0,Reynoso,  Between Cypress Avenue and the Grover Cleveland Athletic Field , Ann Maggio Way  , Suydam Street ,11385.0,1655.0,Int. No. 620		,,"40.70742566200007,-73.91843633099998|40.708116962000055,-73.91773359199998"
"Charles Lamontanaro began his tenure at Public School 71, in The Bronx, in September 1968 as a teacher of Mathematics, special education and physical education. In 1972, he was elevated to the position of Assistant Principal where he served until 1984. When Mr. Lamontanaro was installed as Principal of P.S. 71 in 1984, he inherited a school whose academic achievement was above average but whose physical plant had been sorely neglected and was in need of immediate repair. During his tenure as Principal he dramatically improved the physical appearance of the building even though funds were scarce. Under his leadership, the school moved through a physical renaissance while also improving educational programs for students. Mr. Lamontanaro was an active member of the school’s Parent Teacher Association for more than 30 years, serving as a member of the Executive Board and later as an advisor. He was also affiliated with Community Board 10, NYCESPA, Pelham Bay Merchants, the Waterbury Lasalle Civic Association, OSIA, the Pelham Bay Little League, NEBCC, and STOP. Mr. Lamontanaro retired from teaching after 31 years on July 1, 1999. ",Bronx,Street,1091808000000.0,Provenzano ,the north side of Roberts Avenue between Hobart Avenue and Jarvis Avenue ,Charles Lamontanaro Lane,Roberts Avenue ,10461.0,1656.0,Int. No. 281-A,,"40.8456735390001,-73.8301808639999|40.84591702100007,-73.82950226499993"
"Stephen Coronato trained to be an electrician, but in his off-time, he enrolled in college and was the first member of his family to graduate.  Always the first to help his neighbors, he was especially helpful through his life to the elderly and the home bound.  He ran errands, always checked to see if they were well, and mowed lawns to help his neighbors. ",Staten Island,Street,1123516800000.0,Lanza,Between O’Gorman Avenue and Hooper Avenue ,Stephan Coronato Place ,Buffalo Street ,10306.0,1657.0,Int. No. 746-A,,"40.55863088000004,-74.13139723899994|40.558276305000014,-74.130836657"
"Edward A. Carter served the Fort Greene community for many years. He served in the United States Military in 1950 with the 715th AA Battalion. He received several commendations of merit and four honorable discharges, one from the Army and three from the Air Force. He founded and served as executive director of the Fort Greene Youth Patrol, which was established in 1968 and served hundreds of inner city youth, young adults, and senior citizens, was a founding board member of the Brooklyn Navy Yard, and participated for over 20 years, served as chairman of the Parks and Public Safety Committee for Community Board 2 for 20 years, was co-founder and vice chairman of the Fort Greene Senior Citizens Council, served as chairman of the Veterans Association’s Civic Affairs Committee, founded Fort Greene Memorial Post 1908 of the American Legion, founder and board chairman of the Wonderland Day Care Center, president of the Walt Whitman Tenants Association from 1968 to 1976, president of the Resident Advisory Council for New York City Public Housing in 1970, executive board member of Cumberland Diagnostic & Treatment Center, served 26 years on Selective Service Draft Board #145 in Brooklyn and was vice president of the Black Cowboys for more than 15 years.",Brooklyn,Street,1688832000000.0,Hudson,Between Myrtle Avenue and Park Avenue,Edward A. Carter Way,North Portland Avenue,11205.0,1658.0,Int. No. 1102-A,,"40.696002111000034,-73.97637512199998|40.69344876800007,-73.9758625219999"
"Angel Luis Gautier was killed in the line of duty providing passenger service to the people of the City.  For over 20 years, he conducted his duties as a Bus Operator with honor, dignity and pride along with a loving demeanor.  He was also a proud member of the Transport Workers Union-Local 100, he served his country as a member of the United States Army in Vietnam, and was devoted to his family, friends and co-workers. ",Brooklyn,Street,1217606400000.0,Gonzalez,   Between 5th Avenue and 7th Avenue , Angel Luis Gautier Way   ,36th Street,11232.0,1659.0,Int. No. 877-A			,,"40.65290784300005,-74.00209061399991|40.650349910000045,-73.99788222800002"
"Frederick T. Haller, Jr. was an active Glendale community member all of his life.  He organized the first Home School Association at Sacred Heart School, was a Charter Member of the Monsignor Sherman Council, Knights of Columbus and of the Greater Ridgewood Historical Society.  In addition, he was the founder of the Greater Ridgewood YMCA, held several Board positions of the Glendale Kiwanis Club, was the Chairman of Queens Community Board 5 for more than ten years and served on the Board of Trustees of Wyckoff Heights Hospital for forty years. 

 ",Queens,Street,1248969600000.0, Crowley ,Between Woodhaven Boulevard and Myrtle Avenue ,"Frederick T. Haller, Jr. Way ",Union Turnpike ,11385.0,1660.0,Int. No. 1033,,"40.70550823000004,-73.85845763299992|40.70354402700008,-73.86282427"
Louis Martinez worked for Highway 2 on the Belt Parkway for 18 years and was a martial arts instructor in his community.  He tragically drowned in Lake Meade while on vacation with several friends and family members. ,Brooklyn,Street,1217606400000.0,Gonzalez,  Between 4th Avenue and 5th Avenue , Police Officer Louis Martinez Way ,  57th Street  ,11220.0,1661.0,Int. No. 877-A	,,"40.64246918100006,-74.016514343|40.641235820000084,-74.01447586399993"
"Jack Fitzgerald was born on March 10, 1922, on Beach 106th Street in Rockaway, Queens to John Fitzgerald and Anne Foley of Limerick, Ireland.  His hard-working parents had come from Ireland looking for a better life and settled in Rockaway to raise their family. 

Jack attended St. Francis DeSales in Belle Harbor, and Bishop Loughlin High School in Brooklyn.  He then attended Manhattan College in the Bronx and moved on to the Academy of Aeronautics, across from LaGuardia Airport.  His education helped him in service as a Sergeant in the United States Army from 1942 to 1945.  He was an aircraft mechanic and trainer during the Second World War, and proud of being chosen to guard President Harry Truman during a visit to New York. 

After the War, he married Ellen Hancock in November of 1947, and soon after purchased Fitzgerald’s Hotel on Beach 108th Street and Shore Front Parkway in Rockaway.  He served as a member of the Chamber of Commerce and a President of the Rockaway Rotary Club.  He loved serving his community and taught this dedication to his four children.   

The stories about Jack Fitzgerald are part of the history of the Rockaways.  Jack had a great sense of humor, and always saw the best in people.  For instance, when a group of neighborhood teens broke into his business, he decided to give them a job rather than a police record.  He was the perfect example of the “it takes a village” philosophy.  He loved people and telling stories of his world travels; especially the story of meeting a person in Tokyo, Japan wearing one of his “Fitzgerald’s Tavern” tee shirts.   Jack sold Fitzgerald’s Hotel in 1982 and retired.  Jack moved from Rockaway in 1995 to be cared for by his children until his death on May 13, 2001, from Parkinson’s disease. ",Queens,Street,1061308800000.0,Addabbo,Between Beach 108th Street and Beach 109th Street ,Jack Fitzgerald Parkway,Shore Front Parkway	  ,11694.0,1662.0,Int. No. 342-A			,,"40.579913882000014,-73.82979698299995|40.580143625000055,-73.82905490499994"
"Virgil (July 18, 1930 – June 4, 2016) and Claudia Bell (June 18, 1930 – September 16, 2022) moved to Wyckoff Gardens in 1965. One of the first families to move into the development.  They were both pillars of the community. Upon retirement as a carpenter at Miller Hoffman, Virgil served as supervisor of the tenant patrol team for over 6 years. Virgil, aka Grandpa, would call all the young men in the neighborhood “Young Blood.” Upon Claudia’s retirement as a machine operator for Pfizer Pharmaceutical, she served as Sergeant of Arms for the Tenant Association for 6 years. The Bells were a loving couple who would accept almost anyone into their home. If you needed somewhere to stay you could stay, you could stay at the Bell’s home. Claudia Bell worked for Pfizer before retirement and worked with her company to provide free trips for Wyckoff Gardens children to go to Six Flags.",Brooklyn,Street,1688313600000.0,Restler,Between Warren Street and Baltic Street,Virgil and Claudia Bell Way,Nevins Street,11217.0,1663.0,Int. No. 897  ,,"40.68287360500005,-73.98483682599995|40.6823325600001,-73.98520697099995"
"Benjamin Ward was the first African-American New York City Police Commissioner under Mayor Koch. He served as a police officer beginning in 1951 when he became the first African-American officer assigned to Brooklyn’s 80th Precinct. He rose through the ranks over the years to lieutenant and eventually served as special legal counsel to Police Commissioner Howard R. Leary. He later was named a Deputy Police Commissioner of Trials, Deputy Commissioner of Community Affairs and Traffic Commissioner in 1973. He then became Chief of the New York City Housing Authority and the Commissioner of the Department of Corrections before becoming the 34th Police Commissioner.  ",Manhattan,Street,1593964800000.0,Chin ,Between Worth Street and Walker Street ,Benjamin Ward Way ,Baxter Street ,10013.0,1664.0,Int. No. 1825,,"40.717257585,-73.99950251599994|40.71530592600004,-74.00077388299992|40.71516564900001,-74.00053516699997|40.714439860000006,-74.00046542899996"
"The New York Naval Militia is the “Navy National Guard” in New York State.  It is part of the NYS Division of Military and Naval Affairs, which is composed of the National Guard, Air National Guard, and the State Guard.  The NYNM is a federally recognized military force comprised of approximately 4500 members who are active Naval Reservists, Marine Corps Reservists, Coast Guard Reservists and Veteran volunteers.  Many of its members live in New York City.  The NYNM traces its heritage back to the beginning of the Revolutionary War, as militamen fought at the Battle of Lake Champlain and have been active in every war and other action of the State and Federal governments. 

The NYNM is an integral part of the homeland security efforts in New York State, and has a unit stationed at Fort Schuyler in the Bronx.  Their patrol boats are in close liaison with the NYPD Harbor Patrol and are operating as a coordinated force to protect the citizens of New York. ",Manhattan,Street,1091980800000.0,Gerson ,between Fulton Street and John Street ,New York Naval Militia Place ,Water Street ,10038.0,1665.0,Int. No. 471-A,,"40.706881810000034,-74.00495955399994|40.70740842400003,-74.004106612"
"Felix and Ivan Vale worked for Cantor Fitzgerald in the North Tower of the World Trade Center.  Tragically, they were killed in the terrorist attacks on September 11, 2001. ",Brooklyn,Street,1343577600000.0,Dilan,Between Pitkin Avenue and Glenmore Avenue,Felix and Ivan Vale Way ,Fountain Avenue ,11208.0,1666.0,Int. No. 935,,"40.676126957000044,-73.87556985499998|40.67501423800007,-73.87529626999998"
"Sister Mary Geraldine Tobia, a stalwart of the southwest Brooklyn community, gave years of service to the children, families, newly arrived immigrant groups and the myriad of groups that comprise the gorgeous mosaic that is New York City.  A Magna Cum Laude graduate of Fordham University in 1967, she made the difference between survival and a prosperous and productive life.  Her selfless dedication and vision is sorely missed in the community.  She served as the Project Director for the Center for Family Life in Sunset Park, the Program Coordinator for the Family Reception Center in Park Slope, member of the Board of Directors for Saving Families for Children and the Literacy Volunteers of New York City, as well as many other family and social welfare organizations.  She served as an Adjunct Professor at Columbia University School of Social Work and was a Committee Member of the Mayor’s Agenda for Children Tomorrow.   ",Brooklyn,Street,1091808000000.0,Gonzalez ,between 3rd Avenue and 4th Avenue,Sister Mary Geraldine Tobis Way ,43rd Street ,11232.0,1667.0,Int. No. 281-A,,"40.65144661500004,-74.01024493100002|40.65050645900006,-74.008675839"
Jeffrey Ray Calero had a distinguished career in the Special Forces Command of the United States Army.  He was killed while serving in Operation Enduring Freedom in Iraq. ,Queens,Street,1249228800000.0,Weprin ,Between Jamaica Avenue and Hillside Avenue ,Major Jeffrey Ray Calero Way,Hollis Court Boulevard ,11428.0,1668.0,Int. No. 1033,,"40.72406457200002,-73.75487432499993|40.72010467700007,-73.74993906099994|40.71862067200004,-73.74913976199996|40.71551838400004,-73.74849603199993"
"Joseph Otto Behnke served his country with the United States Army’s 82nd Airborne Division from 1976 to 1980.  From 1985 until his death, he served intermittently with the New York Army National Guard.  Joseph continued his service to his country and military counterparts by working at the downtown Manhattan Veterns Affairs hospital.  He also stared a general contracting company called American Way Construction, Incorporated. ",Brooklyn,Street,1123257600000.0,DeBlasio,Between 6th and 7th Avenues,Sgt. Joseph Otto Behnke Avenue,Prospect Avenue,11215.0,1669.0,Int. No. 613,,"40.662754675000016,-73.98824280499994|40.66153715300003,-73.98623007599997"
"Alfredo Thiebaud was the president and owner of Delicioso Coco Helado Inc.  During the 1970’s, he sold coconut ice in paper cups on the streets of the South Bronx and later built a fleet of pushcarts selling tropical flavored ices.  He often donated ices to neighborhood festivals and borough events. Elected officials expressed after his death that Mr. Thiebaud’s faith in the Bronx had helped revitalize a declining neighborhood and provided thousands of families with much-needed jobs over the years.   He started his company in 1967 in the kitchen of his South Bronx apartment, recreating a popular dessert in Latin America and the Caribbean, starting with one flavor, coconut, which he made from real coconuts.  Later he added cherry and many other flavors. His company eventually employed more than 30 seasonal workers and supplied more than 100 vendors with pushcarts, dry ice and, of course, the tropical-flavored ices in three sizes of cups, from April through October every year. He designed and built the carts himself in the basement of his factory.  He was recognized by over thirty organizations and was awarded the Business of the Year Award from the Bodega Association, the Small Business Advocate of the Year Award from the United States Small Business Association, Community Advocate from the 40th Precinct among others. ",Bronx,Street,1500739200000.0,Salamanca ,Between 159th Street and 161st Street ,Alfredo Thiebaud Way ,St. Ann’s Avenue,10456.0,1670.0,Int. No. 1613,,"40.821321272000034,-73.90989251199997|40.82237065300008,-73.90952236699997"
"Thomas Gargan joined the New York Police Department in 1927, and upon completion of training was assigned to the old Charles Street Pct. During his twenty years of service, Officer Gargan was cited six times for bravery and amassed an unblemished record. On August 17, 1947, Ptl. Thomas Gargan was shot and killed in the line of duty when responding to a call about a suspicious man who was seen entering a private premises while the owners were away for the summer. ",Manhattan,Street,1123516800000.0,Quinn,Between Washington Street and Greenwich Street ,Ptl. Thomas J. Gargan Way ,Bank Street ,10014.0,1671.0,Int. No. 746-A,,"40.736220012000054,-74.00821353499992|40.73642324900003,-74.00673831999994"
"Raoul Wallenberg was a Swedish diplomat who risked his life to save Hungarian Jews during the Holocaust.  A descendant of a long line of Swedish bankers and diplomats, Wallenberg was an architect.  In 1936, he spent six months in Haifa where he studied management at the Holland Bank and first met with Jewish refugees from Germany.  He returned to Stockholm and worked for a central European trading company whose president was a Hungarian Jew.  Wallenberg’s chief operation was the distribution of Swedish certificates of protection, commonly known as “Wallenberg passports,” which the Swedish government granted to any Jew who had some tie with Sweden.  Applying pressure on the Hungarian government, Wallenberg recruited thousands of Jews for his work.  He initiated the establishment of an “international ghetto,” this vehicle allowed 33,000 Hungarian Jews to find sanctuary and thus liberation in neutral countries.  In November, 1944, the remaining members of the Jewish community in Budapest were forced on a death march to the Austrian border with Hungary.  Wallenberg and other Swedish staffers followed the column in trucks, distributing medicine, food and clothing.  He was able to save 500 of the marchers and returned them to Budapest.  In Budapest, he organized an official Swedish labor detachment and a “Jewish Guard,” consisting of Aryan-looking Jews dressed in S.S. uniforms.  He built and funded Jewish hospitals and soup kitchens.  He was not only interested in the personal safety of Hungarian Jews, but in the liberation of Hungary and plans to restore the Hungarian economy.  When the Soviet army freed Budapest, Wallenberg presented himself to the army and then disappeared. ",Brooklyn,Street,1343577600000.0,Greenfield and Lander ,Between 36th Street and 60th Street ,Raoul Wallenberg Way ,13th Avenue ,11219.0,1672.0, Int. No. 761-A,,"40.62891758900004,-73.99846617400001|40.63077815500004,-73.99654647899999|40.634901790000036,-73.992291606|40.64221310000005,-73.98464819999995"
"Rabbi Michoel Ber Weissmandl was instrumental in saving the European Jewish populace during World War II as a resistance fighter.  He created a “Working Group” to convince German and Slovakian authorities to delay the mass deportation of Jews for two years.  He appealed to world leaders with abilities he hoped would help save the Jews of Europe, including President Franklin Delano Roosevelt and Winston Churchill and alerted them to the progressive Nazi actions in Europe.  He also reestablished the Nitra Yeshiva in Boro Park, Mount Kisco and New Jersey when he came to the United States.  ",Brooklyn,Street,1437580800000.0,Greenfield, Between 10th Avenue and 20th Avenue , Rabbi Weissmandl Way  , 50th Street  ,10019.0,1673.0,Int. No. 620			,,"40.63841742800004,-73.99922268700001|40.63718715800006,-73.99718420799995|40.63584629500006,-73.99496252599991|40.63319523700009,-73.990570105|40.63173445100006,-73.98814986699998|40.630716428000056,-73.98646323400003|40.62917931200007,-73.98391662999995|40.62782486600005,-73.98167270999997|40.62637693400008,-73.97927396299998|40.62505298200003,-73.97708065599993"
"The following biographical material was provided by Alfred P. Raffo, a colleague and family friend. 

William D. Thomas Senior was born on June 8, 1933, on Gold Street in Brooklyn, New York, to David and Helen Thomas. As a young man his family, which consisted of his parents, a sister, Ester and brothers David and Kenneth, moved to 19th Street, between Fifth and Sixth Avenues, in Brooklyn. “Bill” attended Public School 10 graduating in1945. At age 19 he married Angela LaDuca Thomas, on September 26, 1952. The marriage produced two sons, David and William Junior. 

Bill Thomas’ first job was with Caputo Bakeries on Court Street. He later worked as a route man, salesman and driver for Drakes Cakes Company, Inc. In 1962 Bill and Angela purchased a brownstone home at 459 14th Street. Ten years later, in 1972, he founded the 14th Street Block Association and remained its president for the rest of his life. During this period he became a very active, and a very hands-on, community leader and activist. He was elected to be a Judicial Delegate for the Kings County Democratic Party and, in 1985, was asked to become Chairman of the Board of the 17th Street Block Association, a tenants advocate organization which he helped to found. In February 1990, Mr. Thomas was a founding member of the United Coalition to Save and Preserve the 14th Infantry Regiment Armory Conservancy Inc., an organization that he chaired from 1996 to 1998. Bill also served as Campaign Treasurer for the Honorable Bernard Fuchs’ election to the Supreme Court of the State of New York in 1986 and 1992. 

In 1996, Bill Thomas, along with his good friend and colleague Alfred P. Raffo and others, fought side by side for the return of “Iron Mike”, a WWI Statue of a 14th Infantry Regiment “Doughboy”, to its traditional pedestal in front of the Armory’s main entrance. Later in 1996, he worked with Department of Transportation (DOT) officers to have a traffic light installed, at the corner of 14th Street and Eighth Avenue to protect local residents. He also worked with DOT, up until his death, to bring about extensive structural repairs for 14th Street. Bill, and others, also worked with the Department of Parks and Recreation to create a parking lot in Prospect Park. The lot would benefit patrons of the Circle Restaurant and the Pavilion Theatre, with parking fees going to local non-profit community organizations. And from 1984, Bill Thomas was  member of the Board of Directors of the Seventh Avenue/Windsor Place Community Association and of Foodcare, Inc. Foodcare, Inc. is a not-for-profit entity, made up of 68 community organizations, who operate soup kitchens, food pantries and other  charitable activities 365 days a year. 

William D. Thomas, Sr. died on February 16, 2002. He was survived by his wife, Angela, his sister, Ester; and two sons, William Jr. and David. ",Brooklyn,Street,1030032000000.0,DeBlasio and Rodriguez.,between 8th Avenue and Prospect Park West,"Bill Thomas, Sr. Lane",14th Street,11215.0,1674.0,Int. No. 121,,"40.66270593100009,-73.9816463019999|40.66165902200004,-73.97946151999994"
"Richard Reed, Jr. devoted his life to the development of the youth of the Bronx and touched the lives of many other residents in a positive fashion. He was one of the founders of the Bronx Foundation, an organization made up of present and former Bronx residents whose membership represents a cross section of the business, social and cultural life of the Bronx. He was a coach, mentor, teacher, father-figure and friend to many residents of the Bronx. For over thirty-four years he worked as a “Parkie” at the Forest Playground and retired as a Recreation Director for the New York City Department of Parks and Recreation. He was a founder of the thirty-five years old annual “Old Timers Day” and a former member of Community Planning Boards #3 serving on its Quality of Life Committee. ",Bronx,Street,1154793600000.0,Foster, Between Union Avenue and Tinton Avenue ," Richard Reed, Jr. Place  ", East 166th Street  ,10456.0,1675.0,Int. No. 457			,,"40.82625144700004,-73.90155804999993|40.82602615900006,-73.90058977199999"
"Dr. Sam Pinn Jr. was born in Rice, Virginia and later moved to New York to become a life-long resident of Bedford-Stuyvesant, Brooklyn. He served in the United States Army Reserves for eight years and was honorably discharged with the rank of Lieutenant. He earned his Bachelor of Arts degree in sociology from Morgan State University, a Masters of Social Work Degree from Rutgers University, and two Doctors of Law degrees bestowed by Mary Holmes College and Morgan State University. He was also a Licensed Master of Social Work (LMSW) in the State of New York. In May 1973, he helped found and then served as Chairman of the Fort Greene Council Inc. Under his leadership, the Council expanded its sponsorship of senior centers, offering a range of comprehensive services, from their first center located in Fort Greene-Clinton Hills to its present sponsorship of 13 centers located throughout Brooklyn. The expansion also included a meals-on-wheels program, two child care centers, COMPASS, and UPK for ALLs. He was a visionary who created and organized Jazz 966 in November 1990, opening its doors to the Brooklyn community at affordable admission fees at a modest $15.00 donation, which was an alternative to the expensive Jazz clubs in New York City. Jazz 966 featured world renowned artist, such as Wynton Marsalis, Trumpeter; Houston Person, Saxophonist; Etta Jones, Jazz Singer; and their own Danny Mixon, Pianist. For five years, he hosted and produced ""The Grand Ones,"" a weekly radio show formerly aired on WNYE, 91.5FM. He served as Chairman of Independent Brooklyn CORE for 16 years and helped fight for social justice and political empowerment. He was elected to Central Brooklyn's Community School Board No. 16, where he held the position of Chairman and was instrumental in initiating policies which dramatically improved the districts overall reading and math scores as well as its attendance rating. He was the recipient of more than 90 awards and accolades from various elected officials, block and tenant associations, PTAs, academic and religious orders, schools, fraternal groups, cultural institutions and other groups and was also honored by Ramapo College's Board of Trustees with its most prestigious award, the Fred and Florence Thomas Award. He was also the recipient of the inaugural Sam Pinn Educator Activist Award presented by Ramapo College's Minority Faculty and Staff Association for his years of advocacy on behalf of Ramapo's students, faculty and staff of color. ",Brooklyn,Street,1657900800000.0,Cumbo,Between Grand Avenue and Cambridge Place ,Dr. Sam Pinn Jr. Way ,Fulton Street ,11238.0,1676.0,Int. No. 2477,,"40.682628137000066,-73.96265634099994|40.68241660100008,-73.96172293199996"
"Private Isaac T. Cortes resided in the Parkchester neighborhood of the Bronx.  While serving in the United States Army, he received multiple and awards and decorations including the Purple Heart, the Bronze Star and the National Defense Service Medal.  Private Cortes was killed when an explosive device detonated in Amerli, Iraq, just north of Baghdad. ",Bronx,Street,1249228800000.0,Palma ,Between Metropolitan Oval and Starling Avenue,PV2 Isaac T. Cortes Way ,Unionport Road ,10462.0,1677.0,Int. No. 1103-A,,"40.83598787600002,-73.85594742099994|40.83790758300003,-73.85908024099997"
"Robert Woolis was born on May 13, 1924 and was a long time resident of the Upper West Side. He was one of the original tenants at Columbus House and became an active resident serving on the Columbus House Tenants Association as President for many years.  He co-founded the Mitchell Lama Residents’ Council with Congressman Charles Rangel.  Mr. Woolis served as co-chair of this organization for many years, advocating for the rights of Mitchell-Lama residents.  Mr. Woolis, a longtime Upper East Side resident, also served in the Navy Air Corps during World War II. ",Manhattan,Street,1217606400000.0,Brewer, Between Columbus Avenue and Central Park West , Robert Woolis Way   ,North side of West 95th Street  ,10025.0,1678.0,Int. No. 825			,,"40.79214522900003,-73.96790810599998|40.79104663400007,-73.96529831599995"
